1	19	22329
2	27	7978
3	3	4363
4	130	13867
5	129	10225
6	144	23872
7	1356	22748
8	12	11522
9	3	5399
10	2104	32057
11	15	10522
12	0	1285
13	398	6146
14	3	1137
15	9	8969
16	119	4088
17	17	16224
18	1	709
19	4	5501
20	2	10018
21	2	1757
22	2	1502
23	17	15151
24	2	4649
25	279	22717
26	2	4262
27	10	5769
28	10	10414
29	7	7871
30	2	1832
31	25	22296
32	122	7699
33	2354	33391
34	2	2544
35	0	1046
36	6	5284
37	254	20399
38	6	6522
39	4	6526
40	166	13730
41	3	2881
42	6	5094
43	6	6157
44	3	1084
45	621	10525
46	2	2155
47	1	2757
48	1	719
49	2	1784
50	2	1841
51	6	5365
52	150	5668
53	3	3246
54	1106	11704
55	5	3289
56	6	3244
57	7	4203
58	4	5358
59	1832	21817
60	0	2547
61	3	724
62	1	738
63	2	2123
64	0	743
65	1	732
66	1	678
67	5	3520
68	0	698
69	121	2769
70	2	5313
71	1	1743
72	1	749
73	0	370
74	250	2626
75	3	2507
76	0	709
77	2	748
