1	29	28580
2	25	28824
3	14	13070
4	175	5482
5	1853	29744
6	15	14995
7	6	5922
8	474	8186
9	171	17982
10	25	21069
11	4	6500
12	204	30964
13	179	13245
14	10	8375
15	3213	44325
16	7	7394
17	19	19365
18	351	26122
19	10	11766
20	8	8064
21	2	4009
22	2893	42231
23	1514	15802
24	2563	28762
25	0	2262
26	3	6784
27	200	10214
28	6	5048
29	382	29048
30	5	2729
31	5	5714
32	19	13352
33	7	8655
34	174	17908
35	39	10324
36	6	6782
37	5	6798
38	13	13345
39	0	454
40	12	10144
41	5	4284
42	873	13917
43	1	921
44	0	2349
45	5	3715
46	8	7043
47	4	2754
48	1	931
49	3	893
50	176	7332
51	4	7048
52	168	3578
53	1	1629
54	4	5616
55	1	2278
56	4	3168
57	2	919
58	4	4179
59	8	3345
60	11	6982
61	1	3623
62	1	2302
63	3	948
64	2	1374
65	4	2238
66	6	4621
67	0	921
68	0	927
69	2	3271
70	3	1763
71	2	1406
72	3	942
73	10	1502
74	3	914
75	375	3487
76	0	919
77	0	903
