1	5	12118
2	97	12992
3	3	3709
4	57	4347
5	2	698
6	1	409
7	1355	18888
8	3	3132
9	2	1886
10	6	5395
11	1	206
12	0	1694
13	6	7979
14	1165	13169
15	21	4301
16	178	12333
17	11	12126
18	1	385
19	1571	19934
20	9	8870
21	74	7582
22	93	2445
23	2	1681
24	61	5526
25	2	2877
26	4	3003
27	1	396
28	3	2508
29	0	562
30	4	6039
31	1	1003
32	1	2668
33	87	7448
34	3	2899
35	3	5642
36	4	2829
37	152	1600
38	1	1225
39	405	6122
40	74	1569
41	4	2931
42	4	3259
43	150	11196
44	921	13258
45	0	1456
46	5	2834
47	1	4281
48	2	1525
49	0	1682
50	4	967
51	84	3091
52	1	3435
53	2	1139
54	2	2407
55	1	400
56	0	361
57	1	1383
58	1	526
59	1	2187
60	4	1368
61	1	990
62	4	2344
63	7	5663
64	5	4758
65	1	974
66	269	3615
67	759	7312
68	0	1541
69	2	753
70	1	406
71	0	406
72	0	369
73	1	1018
74	3	641
75	0	385
76	1	360
77	0	371
