1	283	60930
2	57	57911
3	37	38597
4	256	34906
5	64	20456
6	219	9849
7	4220	71813
8	13	10889
9	234	13486
10	11	14062
11	1	7262
12	2423	49827
13	28	27083
14	8	11063
15	4	4739
16	10	14896
17	35	29494
18	24	23301
19	215	25819
20	503	56581
21	3758	69380
22	228	35361
23	15	15686
24	12	13677
25	67	57345
26	22	26110
27	14	13776
28	7	6428
29	17	13787
30	1	1852
31	8	13098
32	12	13881
33	3326	44509
34	2010	23382
35	468	50368
36	6	4565
37	15	8271
38	2	3260
39	3	1892
40	31	41412
41	3	7359
42	21	16731
43	18	20192
44	245	19338
45	6	8342
46	1047	23107
47	14	10364
48	10	17366
49	8	5578
50	3	4649
51	3	1927
52	5	6507
53	4	2904
54	680	13471
55	12	13920
56	33	26690
57	9	6497
58	9	9115
59	1	1915
60	13	12460
61	8	4740
62	7	8338
63	6	5617
64	2	1859
65	3	1850
66	9	2908
67	1	4729
68	0	931
69	3	1793
70	2	1862
71	224	6334
72	2	1817
73	2	1825
74	7	3640
75	3	2776
76	1	1917
77	438	5190
