1	5	7002
2	1	1233
3	4	3930
4	8	10527
5	17	15324
6	12	12391
7	1	2055
8	12	5146
9	5	10331
10	12	15047
11	10	10285
12	4	3533
13	7	4095
14	8	6818
15	9	8693
16	3	2145
17	8	3668
18	1	3633
19	13	14714
20	3	3387
21	11	13684
22	2	4239
23	4	6240
24	3	3666
25	8	4552
26	4	4627
27	4	10863
28	4	5313
29	5	2839
30	1	2143
31	4	2862
32	0	2125
33	4	1860
34	4	8667
35	6	1707
36	3	8224
37	4	2133
38	4	6731
39	0	711
40	2	1188
41	2	3603
42	5	5451
43	6	3874
44	1	1455
45	11	7621
46	1	1004
47	2	3562
48	7	5849
49	0	1700
50	1	460
51	2	3066
52	2	1458
53	1	2011
54	2	2154
55	3	3071
56	1	2626
57	0	465
58	2	1240
59	0	231
60	1	477
61	1	1670
62	1	865
63	0	762
64	2	2438
65	1	1220
66	0	692
67	0	477
68	0	508
69	0	443
70	0	478
71	0	1168
72	3	465
73	0	1204
74	0	497
75	1	479
76	0	461
77	1	451
